Item,Quadrant,Ring,Active,Moved,Link,Quadrant-json,Ring-json,Active-json,Moved-json
Java,0 - Languages,0 - ADOPT,1 - Yes, 0 - Not Moved,https://www.java.com/en/,0,0,TRUE,0
Angular2,0 - Languages,3 - HOLD,1 - Yes,-1 - Moved Out,https://angular.io/,0,3,TRUE,-1
React,0 - Languages,0 - ADOPT,1 - Yes, 1 - Moved In,https://react.dev/,0,0,TRUE,1
Vue,0 - Languages,2 - ASSESS,1 - Yes, 0 - Not Moved,https://vuejs.org/,0,2,TRUE,0
Python,0 - Languages,1 - TRIAL,1 - Yes, 0 - Not Moved,https://www.python.org/,0,1,TRUE,0
C# .NET,0 - Languages,0 - ADOPT,1 - Yes, 0 - Not Moved,https://learn.microsoft.com/en-us/dotnet/csharp/tour-of-csharp/,0,0,TRUE,0
Visual Basic .NET,0 - Languages,3 - HOLD,1 - Yes, 0 - Not Moved,https://learn.microsoft.com/en-us/dotnet/visual-basic/,0,3,TRUE,0
Visual Basic 6,0 - Languages,3 - HOLD,1 - Yes, 0 - Not Moved,https://learn.microsoft.com/en-us/previous-versions/visualstudio/visual-basic-6/visual-basic-6.0-documentation,0,3,TRUE,0
SQL,0 - Languages,0 - ADOPT,1 - Yes, 0 - Not Moved,https://en.wikipedia.org/wiki/SQL,0,0,TRUE,0
Gradle,0 - Languages,0 - ADOPT,1 - Yes, 0 - Not Moved,https://gradle.org/,0,0,TRUE,0
Scala,0 - Languages,3 - HOLD,1 - Yes,-1 - Moved Out,https://www.scala-lang.org/,0,3,TRUE,-1
Browserstack,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
Seige,1 - Delivery Pipeline,1 - TRIAL,1 - Yes, 1 - Moved In,,1,1,TRUE,1
DatoCMS,2 - Platform Components,1 - TRIAL,1 - Yes, 1 - Moved In,,2,1,TRUE,1
Fivetran,2 - Platform Components,1 - TRIAL,1 - Yes, 1 - Moved In,,2,1,TRUE,1
Qualys,2 - Platform Components,3 - HOLD,1 - Yes,-1 - Moved Out,,2,3,TRUE,-1
CISecurity,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
Raygun,1 - Delivery Pipeline,1 - TRIAL,1 - Yes, 1 - Moved In,,1,1,TRUE,1
Site 24x7 (Zoho),2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,,2,0,TRUE,0
AWS,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,,2,0,TRUE,0
Slack,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,,2,0,TRUE,0
Apigee,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,,2,0,TRUE,0
Apple,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
github,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
gitlab,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
Hund,2 - Platform Components,1 - TRIAL,1 - Yes,-1 - Moved Out,,2,1,TRUE,-1
Opsgenie,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,https://www.atlassian.com/software/opsgenie,2,0,TRUE,0
Silverstripe,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,https://www.silverstripe.org/,2,0,TRUE,0
TestComplete,1 - Delivery Pipeline,3 - HOLD,1 - Yes,-1 - Moved Out,https://smartbear.com/product/testcomplete/,1,3,TRUE,-1
smtp2go,2 - Platform Components,0 - ADOPT,1 - Yes, 0 - Not Moved,,2,0,TRUE,0
Pytest,1 - Delivery Pipeline,1 - TRIAL,1 - Yes, 1 - Moved In,,1,1,TRUE,1
JMeter,1 - Delivery Pipeline,0 - ADOPT,1 - Yes, 0 - Not Moved,,1,0,TRUE,0
FitNesse,1 - Delivery Pipeline,3 - HOLD,1 - Yes,-1 - Moved Out,,1,3,TRUE,-1
Mailtrap,2 - Platform Components,2 - ASSESS,1 - Yes, 0 - Not Moved,,2,2,TRUE,0
Mailinator,2 - Platform Components,2 - ASSESS,1 - Yes, 0 - Not Moved,https://www.mailinator.com/,2,2,TRUE,0